;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
140;35,569;79,535;19,959;14,571;Eli Lilly;TRUE;0;1;1;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;23.9;Very Confusing;150;89;303;www.lilly.com;19;130;149;0;0;0;0;0;5;17;4;0;26;0.336;3086579;3.6
141;21,312;28,586;19,82;7,358;Southwest Airlines;TRUE;0;98;6;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;www.southwest.com;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;19150;-3.2
142;8,023;3,269;19,361;1,79;Penske Automotive Group;TRUE;0;7;5;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;13.4;Very Confusing;107;86;483;www.penskeautomotive.com;1;128;129;0;0;2;0;0;12;55;0;0;69;0.265;3162197;9.5
143;7,518;5,878;19,33;2,625;ManpowerGroup;TRUE;1;0;0;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;4.4;Very Confusing;68;138;507;www.manpowergroup.com;5;32;37;0;0;0;0;0;6;7;0;0;13;0.313;2160026;2.8
144;13,606;8,631;19,204;5,491;Kohl’s;TRUE;0;34;14;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;60.4;Fairly difficult;199;131;789;www.kohlscorporation.com;11;114;125;0;2;9;0;0;38;1;0;0;50;0.029;19831;-1.7
145;12,446;88,243;19,163;5,818;Starbucks;TRUE;0;40;2;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;76.4;Fairly easy;30;6;65;www.starbucks.com;64;296;360;0;0;25;0;0;9;13;2;0;49;0.133;7607899;6.0
146;21,11;19,216;19,115;6,94;Paccar;TRUE;1;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;28.3;Very Confusing;141;66;296;www.paccar.com;0;157;157;0;0;1;0;0;13;14;0;0;28;0.315;2882755;9.2
147;15,134;18,728;19,11;7,406;Cummins;TRUE;0;21;17;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.cummins.com;10;115;125;0;0;1;1;0;0;4;0;0;6;0.064;353115;-2.5
148;32,535;122,684;18,854;2,88;Altria Group;TRUE;1;0;0;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;21.5;Very Confusing;262;255;803;www.altria.com;1;223;224;0;0;1;0;0;7;17;4;0;29;0.055;11021104;4.1
149;24,817;11,304;18,664;9,074;Xerox;TRUE;0;12;7;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;36.7;Difficult;183;162;601;www.xerox.com;118;50;168;0;0;1;0;0;33;0;6;0;40;0.127;11103352;0.8
