Range;Company;site;loading.time
437;WEC Energy Group;http://www.wecenergygroup.com;0,184
438;Marathon Oil;http://www.marathonoil.com;0,347
439;TravelCenters of America;http://www.ta-petrol.com;0,195
440;United Rentals;http://www.unitedrentals.com;0,484
441;HRG Group;http://www.hrggroup.com;0,001
443;Windstream Holdings;http://www.windstream.com;0,781
444;Starwood Hotels & Resorts;http://www.starwoodhotels.com;0,001
445;Delek US Holdings;http://www.delekus.com;0,003
446;Packaging Corp. of America;http://www.packagingcorp.com;0,948
447;Quintiles Transnational Holdings;http://www.quintiles.com;0,559
448;Hanesbrands;http://www.hanes.com;0,239
449;Realogy Holdings;http://www.realogy.com;0,031
450;Mattel;http://www.mattel.com;0,109
451;Motorola Solutions;http://www.motorolasolutions.com;0,11
452;J.M. Smucker;http://www.jmsmucker.com;0,319
453;Regions Financial;http://www.regions.com;0,692
454;Celanese;http://www.celanese.com;1,255
455;Clorox;http://www.thecloroxcompany.com;0,896
456;Ingredion;http://www.ingredion.com;0,224
457;Genesis Healthcare;http://www.genesishcc.com;0,513
458;Peabody Energy;http://www.peabodyenergy.com;0,569
459;Alaska Air Group;http://www.alaskaair.com;0,963
460;Seaboard;http://www.seaboardcorp.com;0,008
461;Frontier Communications;http://www.frontier.com;0,403
462;Amphenol;http://www.amphenol.com;0,007
463;Lansing Trade Group;http://www.lansingtradegroup.com;0,168
464;SanDisk;http://www.sandisk.com;0,001
466;Wyndham Worldwide;http://www.wyndhamworldwide.com;0,307
467;Kelly Services;http://www.kellyservices.com;0,649
468;Western Union;http://www.westernunion.com;0,061
469;Envision Healthcare Holdings;http://www.evhc.net;0,425
470;Visteon;http://www.visteon.com;0,799
471;Arthur J. Gallagher;http://www.ajg.com;0,243
472;Host Hotels & Resorts;http://www.hosthotels.com;2,529
473;Ashland;http://www.ashland.com;0,019
474;Insight Enterprises;http://www.insight.com;0,239
475;Energy Future Holdings;http://www.energyfutureholdings.com;0,185
476;Markel;http://www.markelcorp.com;0,517
477;Essendant;http://www.essendant.com;0,187
478;CH2M Hill;http://www.ch2m.com;0,157
479;Western & Southern Financial Group;http://www.westernsouthern.com;0,4
480;Owens Corning;http://www.owenscorning.com;0,168
481;S&P Global;http://www.spglobal.com;0,027
482;Raymond James Financial;http://www.raymondjames.com;0,671
483;NiSource;http://www.nisource.com;0,137
484;Airgas;http://www.airgas.com;0,187
485;ABM Industries;http://www.abm.com;0,912
486;Citizens Financial Group;http://www.citizensbank.com;0,035
487;Booz Allen Hamilton Holding;http://www.boozallen.com;0,099
488;Simon Property Group;http://www.simon.com;0,627
489;Domtar;http://www.domtar.com;0,018
490;Rockwell Collins;http://www.rockwellcollins.com;0,758
491;Lam Research;http://www.lamresearch.com;1,323
492;Fiserv;http://www.fiserv.com;0,261
493;Spectra Energy;http://www.spectraenergy.com;3,385
494;Navient;http://www.navient.com;0,36
495;Big Lots;http://www.biglots.com;0,946
496;Telephone & Data Systems;http://www.tdsinc.com;0,509
497;First American Financial;http://www.firstam.com;0,677
498;NVR;http://www.nvrinc.com;0,038
499;Cincinnati Financial;http://www.cinfin.com;0,597
500;Burlington Stores;http://www.burlingtonstores.com;0,716
