range;company;</title>;</html>;</body>;</div>;</span>;Correct
488;Simon Property Group;YES;NO;YES;YES;YES;NO
489;Domtar;YES;YES;YES;NO;NO;NO
490;Rockwell Collins;YES;YES;YES;YES;YES;YES
491;Lam Research;YES;YES;YES;YES;YES;YES
492;Fiserv;YES;NO;YES;YES;YES;NO
493;Spectra Energy;YES;NO;YES;YES;YES;NO
494;Navient;YES;NO;YES;YES;YES;NO
495;Big Lots;YES;NO;YES;YES;YES;NO
496;Telephone & Data Systems;YES;YES;YES;YES;YES;YES
497;First American Financial;YES;YES;YES;YES;YES;YES
498;NVR;YES;YES;YES;YES;YES;YES
499;Cincinnati Financial;YES;NO;YES;NO;YES;NO
500;Burlington Stores;YES;NO;NO;NO;YES;NO
